NULL,0,0,0,0,0,0,0,0
Bulbasaur,12,4,45,49,49,65,65,45
Ivysaur,12,4,60,62,63,80,80,60
Venusaur,12,4,80,82,83,100,100,80
Charmander,10,0,39,52,43,60,50,65
Charmeleon,10,0,58,64,58,80,65,80
Charizard,10,3,78,84,78,109,85,100
Squirtle,11,0,44,48,65,50,64,43
Wartortle,11,0,59,63,80,65,80,58
Blastoise,11,0,79,82,100,85,105,78
Caterpie,7,0,45,30,35,20,20,45
Metapod,7,0,50,20,55,25,25,30
Butterfree,7,3,60,45,50,90,80,70
Weedle,7,4,40,35,30,20,20,50
Kakuna,7,4,45,25,50,25,25,35
Beedrill,7,4,65,90,40,45,80,75
Pidgey,1,3,40,45,40,35,35,56
Pidgeotto,1,3,63,60,55,50,50,71
Pidgeot,1,3,83,80,75,70,70,101
Rattata,1,0,30,56,35,25,35,72
Raticate,1,0,55,81,60,50,70,97
Spearow,1,3,40,60,30,31,31,70
Fearow,1,3,65,90,65,61,61,100
Ekans,4,0,35,60,44,40,54,55
Arbok,4,0,60,95,69,65,79,80
Pikachu,13,0,35,55,40,50,50,90
Raichu,13,0,60,90,55,90,80,110
